Best Fit:       V     sigma        h3        h4        h5        h6
comp. 0    -0.824        150 
comp. 1     -41.9        438 
comp. 2      0.0       0.0
chi2/DOF: 1.37
Reddening E(B-V): 0.243
Nonzero Templates: 71 / 112
Elapsed time in PPXF: 39.68 s
Spec Norm factor: 50.3439
Spec Norm lambda: 5600.00
Mini: 2027148.8783
Mcor: 1942480.6691
++++++++++++++++++++++++++++++
Gas V= -41.88 and sigma= 438.05 km/s
Number of emission lines: 20
Emission lines peak intensity:
Hepsilon 0.00e+00
Hdelta 4.28e+00
Hgamma 5.98e+00
Hbeta 6.17e+00
Halpha 4.09e+00
[SII]6716 4.10e-01
[SII]6731 0.00e+00
[SII]4068 0.00e+00
[SIII]6312 0.00e+00
[NIII]3967 0.00e+00
[HeI]4026 0.00e+00
[HeI]4143 0.00e+00
[HeI]4471 1.70e+00
[HeI]5875 1.70e-01
[HeI]6678 0.00e+00
[OIII]4363 0.00e+00
[ClIII]5517 1.53e+00
[OIII]5007d 3.73e+00
[OI]6300d 0.00e+00
[NII]6583d 1.46e+00
------------------------------


   # j          x_j(%)         Mini(%)         Mcor(%)           age_j           met_j         (L/M)_j           Mstar
     1         0.00000         0.00000         0.00000     3.00000e+07         0.00208     1.33026e-04         0.99850
     2         0.00000         0.00000         0.00000     3.00000e+07         0.00416     1.22971e-04         0.99850
     3         0.00000         0.00000         0.00000     3.00000e+07         0.00849     1.16020e-04         0.99850
     4         0.00000         0.00000         0.00000     3.00000e+07         0.01068     1.18584e-04         0.99850
     5         0.00000         0.00000         0.00000     3.00000e+07         0.02181     1.13252e-04         0.99850
     6         0.00000         0.00000         0.00000     3.00000e+07         0.02684     1.10289e-04         0.99850
     7         0.00000         0.00000         0.00000     3.00000e+07         0.03457     1.05457e-04         0.99840
     8         0.00000         0.00000         0.00000     3.00000e+07         0.04773     9.51800e-05         0.99840
     9         0.00000         0.00000         0.00000     5.00000e+07         0.00208     1.27583e-04         0.99760
    10         0.00000         0.00000         0.00000     5.00000e+07         0.00416     1.17520e-04         0.99760
    11         0.00000         0.00000         0.00000     5.00000e+07         0.00849     1.12898e-04         0.99760
    12         0.00000         0.00000         0.00000     5.00000e+07         0.01068     1.11457e-04         0.99770
    13         0.00000         0.00000         0.00000     5.00000e+07         0.02181     1.03503e-04         0.99770
    14         0.00000         0.00000         0.00000     5.00000e+07         0.02684     9.97369e-05         0.99770
    15         0.00000         0.00000         0.00000     5.00000e+07         0.03457     9.49603e-05         0.99770
    16         0.00000         0.00000         0.00000     5.00000e+07         0.04773     9.05641e-05         0.99760
    17         0.00000         0.00000         0.00000     8.00000e+07         0.00208     1.21156e-04         0.99650
    18         0.00000         0.00000         0.00000     8.00000e+07         0.00416     1.12726e-04         0.99660
    19         0.00000         0.00000         0.00000     8.00000e+07         0.00849     1.08256e-04         0.99670
    20         0.00000         0.00000         0.00000     8.00000e+07         0.01068     1.06028e-04         0.99670
    21         0.00000         0.00000         0.00000     8.00000e+07         0.02181     9.61097e-05         0.99680
    22         0.00000         0.00000         0.00000     8.00000e+07         0.02684     9.27937e-05         0.99680
    23         0.00000         0.00000         0.00000     8.00000e+07         0.03457     8.92573e-05         0.99680
    24         0.00000         0.00000         0.00000     8.00000e+07         0.04773     8.62334e-05         0.99680
    25         0.00000         0.00000         0.00000     1.00000e+08         0.00208     1.17018e-04         0.99590
    26         0.00000         0.00000         0.00000     1.00000e+08         0.00416     1.09384e-04         0.99600
    27         0.00000         0.00000         0.00000     1.00000e+08         0.00849     1.05098e-04         0.99610
    28         0.00000         0.00000         0.00000     1.00000e+08         0.01068     1.02243e-04         0.99610
    29         0.00000         0.00000         0.00000     1.00000e+08         0.02181     9.21781e-05         0.99630
    30         0.00000         0.00000         0.00000     1.00000e+08         0.02684     8.93814e-05         0.99630
    31         0.00000         0.00000         0.00000     1.00000e+08         0.03457     8.62969e-05         0.99630
    32         0.00000         0.00000         0.00000     1.00000e+08         0.04773     8.32209e-05         0.99630
    33         0.00000         0.00000         0.00000     2.00000e+08         0.00208     1.13471e-04         0.99320
    34         0.00000         0.00000         0.00000     2.00000e+08         0.00416     1.05645e-04         0.99340
    35         0.00131         0.00034         0.00035     2.00000e+08         0.00849     9.67427e-05         0.99370
    36         0.00837         0.00221         0.00230     2.00000e+08         0.01068     9.38875e-05         0.99390
    37         0.02316         0.00701         0.00727     2.00000e+08         0.02181     8.21036e-05         0.99430
    38         0.04710         0.01473         0.01529     2.00000e+08         0.02684     7.93970e-05         0.99430
    39         0.08119         0.02634         0.02733     2.00000e+08         0.03457     7.65637e-05         0.99440
    40         0.12615         0.04276         0.04437     2.00000e+08         0.04773     7.32675e-05         0.99440
    41         0.18244         0.04199         0.04342     3.00000e+08         0.00208     1.07897e-04         0.99080
    42         0.25033         0.06188         0.06401     3.00000e+08         0.00416     1.00465e-04         0.99120
    43         0.32976         0.09131         0.09452     3.00000e+08         0.00849     8.96852e-05         0.99190
    44         0.42045         0.12069         0.12496     3.00000e+08         0.01068     8.65212e-05         0.99220
    45         0.52189         0.17192         0.17810     3.00000e+08         0.02181     7.53906e-05         0.99270
    46         0.63346         0.21664         0.22446     3.00000e+08         0.02684     7.26161e-05         0.99280
    47         0.75424         0.26940         0.27914     3.00000e+08         0.03457     6.95305e-05         0.99290
    48         0.88315         0.33286         0.34490     3.00000e+08         0.04773     6.58928e-05         0.99290
    49         1.01920         0.25874         0.26650     5.00000e+08         0.00208     9.78277e-05         0.98700
    50         1.16153         0.32475         0.33481     5.00000e+08         0.00416     8.88255e-05         0.98790
    51         1.30914         0.41146         0.42471     5.00000e+08         0.00849     7.90172e-05         0.98910
    52         1.46089         0.48097         0.49661     5.00000e+08         0.01068     7.54336e-05         0.98940
    53         1.61579         0.62651         0.64748     5.00000e+08         0.02181     6.40496e-05         0.99030
    54         1.77290         0.72190         0.74613     5.00000e+08         0.02684     6.09913e-05         0.99040
    55         1.93131         0.83177         0.85986     5.00000e+08         0.03457     5.76648e-05         0.99060
    56         2.09020         0.95968         0.99209     5.00000e+08         0.04773     5.40910e-05         0.99060
    57         0.00000         0.00000         0.00000     8.00000e+08         0.00208     8.68824e-05         0.98270
    58         0.00000         0.00000         0.00000     8.00000e+08         0.00416     7.85862e-05         0.98380
    59         0.00000         0.00000         0.00000     8.00000e+08         0.00849     6.84969e-05         0.98560
    60         0.00000         0.00000         0.00000     8.00000e+08         0.01068     6.47016e-05         0.98600
    61         0.00000         0.00000         0.00000     8.00000e+08         0.02181     5.29416e-05         0.98740
    62         0.00000         0.00000         0.00000     8.00000e+08         0.02684     4.98100e-05         0.98760
    63         0.00506         0.00269         0.00277     8.00000e+08         0.03457     4.66429e-05         0.98780
    64         0.02050         0.01179         0.01216     8.00000e+08         0.04773     4.31584e-05         0.98790
    65         0.05045         0.01433         0.01460     1.25000e+09         0.00208     8.74439e-05         0.97620
    66         0.09834         0.03068         0.03133     1.25000e+09         0.00416     7.95920e-05         0.97830
    67         0.16634         0.06559         0.06715     1.25000e+09         0.00849     6.29866e-05         0.98110
    68         0.25596         0.10763         0.11019     1.25000e+09         0.01068     5.90589e-05         0.98100
    69         0.36832         0.19671         0.20194     1.25000e+09         0.02181     4.65002e-05         0.98370
    70         0.50402         0.28715         0.29487     1.25000e+09         0.02684     4.35910e-05         0.98400
    71         0.66298         0.41231         0.42357     1.25000e+09         0.03457     3.99333e-05         0.98440
    72         0.84447         0.58157         0.59757     1.25000e+09         0.04773     3.60615e-05         0.98460
    73         1.04732         0.36881         0.37253     2.00000e+09         0.00208     7.05241e-05         0.96790
    74         1.27040         0.52584         0.53208     2.00000e+09         0.00416     5.99999e-05         0.96960
    75         1.51179         0.73882         0.75020     2.00000e+09         0.00849     5.08175e-05         0.97300
    76         1.76937         0.94288         0.95830     2.00000e+09         0.01068     4.66041e-05         0.97390
    77         2.04136         1.43681         1.46510     2.00000e+09         0.02181     3.52842e-05         0.97710
    78         2.32600         1.74655         1.78204     2.00000e+09         0.02684     3.30741e-05         0.97770
    79         2.62124         2.12057         2.16497     2.00000e+09         0.03457     3.06984e-05         0.97830
    80         2.92477         2.58722         2.64275     2.00000e+09         0.04773     2.80750e-05         0.97880
    81         3.23439         1.34608         1.34982     3.00000e+09         0.00208     5.96739e-05         0.96090
    82         3.54848         1.70891         1.71724     3.00000e+09         0.00416     5.15683e-05         0.96290
    83         3.86506         2.33352         2.35438     3.00000e+09         0.00849     4.11345e-05         0.96680
    84         4.18250         2.76048         2.78804     3.00000e+09         0.01068     3.76281e-05         0.96780
    85         0.00120         0.00107         0.00108     3.00000e+09         0.02181     2.79223e-05         0.97160
    86         0.00118         0.00110         0.00112     3.00000e+09         0.02684     2.65899e-05         0.97220
    87         0.00099         0.00098         0.00100     3.00000e+09         0.03457     2.50720e-05         0.97290
    88         0.00050         0.00055         0.00056     3.00000e+09         0.04773     2.27562e-05         0.97350
    89         0.00000         0.00000         0.00000     5.00000e+09         0.00208     4.81407e-05         0.95140
    90         0.00079         0.00048         0.00047     5.00000e+09         0.00416     4.13026e-05         0.95380
    91         0.01013         0.00770         0.00771     5.00000e+09         0.00849     3.26631e-05         0.95860
    92         0.03467         0.02863         0.02868     5.00000e+09         0.01068     3.00690e-05         0.95970
