aid,ra,dec,log_M,Rhlr,e,ng,z,sigma_e,Kq,Kn,Mdyn,lim_sup
spec-0266-51630-0177,146.165601142076,-0.0641431119018213,10.523,1.61,0.46,6.02,0.0632066,211.41762247596563,0.8775527169786937,4.74077364,10.842671334844962,2.197260511175288
spec-0267-51608-0125,147.927875985207,-0.956982502229085,10.637,1.91,0.03,2.23,0.09202483,210.19022462086716,1.4623134215564701,7.136716889999999,11.311237985886143,3.7653254343012366
spec-0268-51633-0098,149.667680146049,-0.770641388447921,10.684,2.31,0.63,5.01,0.08532126,238.523649900917,0.8192422451676569,5.311602409999999,11.123753426003834,2.2335287829510175
spec-0268-51633-0369,148.936581101638,0.860802328987421,10.337,1.02,0.41,5.11,0.0465229,195.9984560820112,0.9037741381612935,5.252891609999999,10.63600447672791,2.021192145789256
spec-0268-51633-0509,150.017000238163,0.495856500537868,10.75,2.08,0.59,4.33,0.09149828,222.77684595306985,0.8296525174182051,5.723618489999999,11.056811005275982,1.7855197491890664
spec-0268-51633-0625,150.42182589139,0.624832351242567,10.24,1.08,0.54,7.92,0.06608251,215.96385202729016,0.8452074611443647,3.8001862399999995,10.575394744116096,1.437194635830227
spec-0269-51910-0214,150.533961295167,-0.789381423378474,10.7,2.04,0.66,2.92,0.09419206,247.71438780958863,0.8124406952084483,6.648966239999999,11.196519083704935,2.818631184535492
spec-0269-51910-0271,150.738309228238,0.110461642564092,10.425,1.4,0.4,5.45,0.09307487,199.04287673547697,0.9096926026564097,5.056880249999999,10.773239303028483,2.0775352250301453
spec-0270-51909-0042,153.379287757753,-0.946913548121108,10.308,0.95,0.31,2.96,0.04499136,171.0719017916617,0.9756052935221179,6.62139456,10.62074524297684,2.206872702156253
spec-0270-51909-0113,153.452021636059,-0.10520204904681,10.559,2.25,0.6,4.37,0.0915454,207.4791975930228,0.8268941874213698,5.698765289999999,11.025803002204746,2.4376127729381643
spec-0270-51909-0618,153.731909253801,0.671970104190547,10.621,1.93,0.56,4.22,0.09661758,232.53260734721923,0.8386131011557931,5.79236244,11.071383058283473,2.2201499387798163
spec-0271-51883-0175,154.44689385029,-0.0545218729837939,10.291,0.61,0.56,4.19,0.06452124,239.80962684017072,0.8386131011557931,5.811212009999999,10.599332079583665,1.6917519542091914
spec-0271-51883-0265,154.002658423186,-0.112700987831629,10.743,2.18,0.71,4.04,0.05991426,244.03242751704667,0.8027356868192035,5.906110559999999,11.155666372017592,2.6155347113022787
spec-0274-51913-0252,159.406895311189,-0.674303785160012,10.606,2.13,0.39,5.28,0.09774555,213.6771203027123,0.9158595133204178,5.15418944,11.028325540519047,2.1351902495092645
spec-0275-51910-0610,162.410288555627,1.10486063526026,10.713,2.27,0.7,3.64,0.09704216,228.62200418041508,0.8045283901955289,6.16447536,11.136140062589767,2.3597981934085825
spec-0276-51909-0436,162.525717889481,0.333248799031144,10.56,1.37,0.46,5.0,0.04032925,226.72765393973785,0.8775527169786937,5.3175,10.883150924377142,2.1666258210006806
spec-0277-51908-0382,164.812086451726,0.528522952194196,10.503,1.27,0.66,4.92,0.08447896,227.5556257091061,0.8124406952084483,5.36485424,10.823769125598956,1.7700307586637753
