Best Fit:       V     sigma        h3        h4        h5        h6
comp. 0      11.9        193 
comp. 1      50.3      1e+03 
comp. 2      0.0       0.0
chi2/DOF: 1.155
Reddening E(B-V): 0.157
Nonzero Templates: 64 / 112
Elapsed time in PPXF: 36.31 s
Spec Norm factor: 31.4429
Spec Norm lambda: 5600.00
Mini: 1305655.2427
Mcor: 1250478.6289
++++++++++++++++++++++++++++++
Gas V= 50.30 and sigma= 1000.00 km/s
Number of emission lines: 20
Emission lines peak intensity:
Hepsilon 0.00e+00
Hdelta 0.00e+00
Hgamma 2.43e+00
Hbeta 5.10e+00
Halpha 1.34e+00
[SII]6716 1.64e-01
[SII]6731 0.00e+00
[SII]4068 0.00e+00
[SIII]6312 0.00e+00
[NIII]3967 0.00e+00
[HeI]4026 0.00e+00
[HeI]4143 0.00e+00
[HeI]4471 9.57e-01
[HeI]5875 0.00e+00
[HeI]6678 0.00e+00
[OIII]4363 0.00e+00
[ClIII]5517 1.40e+00
[OIII]5007d 2.79e+00
[OI]6300d 0.00e+00
[NII]6583d 0.00e+00
------------------------------


   # j          x_j(%)         Mini(%)         Mcor(%)           age_j           met_j         (L/M)_j           Mstar
     1         0.00000         0.00000         0.00000     3.00000e+07         0.00208     1.33026e-04         0.99850
     2         0.00000         0.00000         0.00000     3.00000e+07         0.00416     1.22971e-04         0.99850
     3         0.00000         0.00000         0.00000     3.00000e+07         0.00849     1.16020e-04         0.99850
     4         0.00000         0.00000         0.00000     3.00000e+07         0.01068     1.18584e-04         0.99850
     5         0.00000         0.00000         0.00000     3.00000e+07         0.02181     1.13252e-04         0.99850
     6         0.00000         0.00000         0.00000     3.00000e+07         0.02684     1.10289e-04         0.99850
     7         0.00000         0.00000         0.00000     3.00000e+07         0.03457     1.05457e-04         0.99840
     8         0.00000         0.00000         0.00000     3.00000e+07         0.04773     9.51800e-05         0.99840
     9         0.00000         0.00000         0.00000     5.00000e+07         0.00208     1.27583e-04         0.99760
    10         0.00000         0.00000         0.00000     5.00000e+07         0.00416     1.17520e-04         0.99760
    11         0.00000         0.00000         0.00000     5.00000e+07         0.00849     1.12898e-04         0.99760
    12         0.00000         0.00000         0.00000     5.00000e+07         0.01068     1.11457e-04         0.99770
    13         0.00000         0.00000         0.00000     5.00000e+07         0.02181     1.03503e-04         0.99770
    14         0.00000         0.00000         0.00000     5.00000e+07         0.02684     9.97369e-05         0.99770
    15         0.00000         0.00000         0.00000     5.00000e+07         0.03457     9.49603e-05         0.99770
    16         0.00000         0.00000         0.00000     5.00000e+07         0.04773     9.05641e-05         0.99760
    17         0.00000         0.00000         0.00000     8.00000e+07         0.00208     1.21156e-04         0.99650
    18         0.00000         0.00000         0.00000     8.00000e+07         0.00416     1.12726e-04         0.99660
    19         0.00000         0.00000         0.00000     8.00000e+07         0.00849     1.08256e-04         0.99670
    20         0.00000         0.00000         0.00000     8.00000e+07         0.01068     1.06028e-04         0.99670
    21         0.00000         0.00000         0.00000     8.00000e+07         0.02181     9.61097e-05         0.99680
    22         0.00000         0.00000         0.00000     8.00000e+07         0.02684     9.27937e-05         0.99680
    23         0.00000         0.00000         0.00000     8.00000e+07         0.03457     8.92573e-05         0.99680
    24         0.00000         0.00000         0.00000     8.00000e+07         0.04773     8.62334e-05         0.99680
    25         0.00000         0.00000         0.00000     1.00000e+08         0.00208     1.17018e-04         0.99590
    26         0.00000         0.00000         0.00000     1.00000e+08         0.00416     1.09384e-04         0.99600
    27         0.00000         0.00000         0.00000     1.00000e+08         0.00849     1.05098e-04         0.99610
    28         0.00000         0.00000         0.00000     1.00000e+08         0.01068     1.02243e-04         0.99610
    29         0.00000         0.00000         0.00000     1.00000e+08         0.02181     9.21781e-05         0.99630
    30         0.00000         0.00000         0.00000     1.00000e+08         0.02684     8.93814e-05         0.99630
    31         0.00000         0.00000         0.00000     1.00000e+08         0.03457     8.62969e-05         0.99630
    32         0.00000         0.00000         0.00000     1.00000e+08         0.04773     8.32209e-05         0.99630
    33         0.00000         0.00000         0.00000     2.00000e+08         0.00208     1.13471e-04         0.99320
    34         0.00000         0.00000         0.00000     2.00000e+08         0.00416     1.05645e-04         0.99340
    35         0.00000         0.00000         0.00000     2.00000e+08         0.00849     9.67427e-05         0.99370
    36         0.00000         0.00000         0.00000     2.00000e+08         0.01068     9.38875e-05         0.99390
    37         0.00000         0.00000         0.00000     2.00000e+08         0.02181     8.21036e-05         0.99430
    38         0.00000         0.00000         0.00000     2.00000e+08         0.02684     7.93970e-05         0.99430
    39         0.00492         0.00155         0.00161     2.00000e+08         0.03457     7.65637e-05         0.99440
    40         0.02257         0.00742         0.00770     2.00000e+08         0.04773     7.32675e-05         0.99440
    41         0.05564         0.01242         0.01285     3.00000e+08         0.00208     1.07897e-04         0.99080
    42         0.10594         0.02539         0.02628     3.00000e+08         0.00416     1.00465e-04         0.99120
    43         0.17465         0.04690         0.04857     3.00000e+08         0.00849     8.96852e-05         0.99190
    44         0.26258         0.07309         0.07572     3.00000e+08         0.01068     8.65212e-05         0.99220
    45         0.36996         0.11818         0.12249     3.00000e+08         0.02181     7.53906e-05         0.99270
    46         0.49658         0.16468         0.17071     3.00000e+08         0.02684     7.26161e-05         0.99280
    47         0.64133         0.22213         0.23028     3.00000e+08         0.03457     6.95305e-05         0.99290
    48         0.80254         0.29331         0.30407     3.00000e+08         0.04773     6.58928e-05         0.99290
    49         0.97854         0.24089         0.24825     5.00000e+08         0.00208     9.78277e-05         0.98700
    50         1.16809         0.31669         0.32666     5.00000e+08         0.00416     8.88255e-05         0.98790
    51         1.36930         0.41732         0.43099     5.00000e+08         0.00849     7.90172e-05         0.98910
    52         1.57987         0.50437         0.52104     5.00000e+08         0.01068     7.54336e-05         0.98940
    53         1.79770         0.67592         0.69890     5.00000e+08         0.02181     6.40496e-05         0.99030
    54         2.02075         0.79788         0.82509     5.00000e+08         0.02684     6.09913e-05         0.99040
    55         2.24695         0.93837         0.97057     5.00000e+08         0.03457     5.76648e-05         0.99060
    56         2.47436         1.10162         1.13942     5.00000e+08         0.04773     5.40910e-05         0.99060
    57         0.00000         0.00000         0.00000     8.00000e+08         0.00208     8.68824e-05         0.98270
    58         0.00000         0.00000         0.00000     8.00000e+08         0.00416     7.85862e-05         0.98380
    59         0.00000         0.00000         0.00000     8.00000e+08         0.00849     6.84969e-05         0.98560
    60         0.00000         0.00000         0.00000     8.00000e+08         0.01068     6.47016e-05         0.98600
    61         0.00000         0.00000         0.00000     8.00000e+08         0.02181     5.29416e-05         0.98740
    62         0.00000         0.00000         0.00000     8.00000e+08         0.02684     4.98100e-05         0.98760
    63         0.00000         0.00000         0.00000     8.00000e+08         0.03457     4.66429e-05         0.98780
    64         0.00000         0.00000         0.00000     8.00000e+08         0.04773     4.31584e-05         0.98790
    65         0.00000         0.00000         0.00000     1.25000e+09         0.00208     8.74439e-05         0.97620
    66         0.00249         0.00075         0.00077     1.25000e+09         0.00416     7.95920e-05         0.97830
    67         0.01777         0.00679         0.00696     1.25000e+09         0.00849     6.29866e-05         0.98110
    68         0.05499         0.02242         0.02297     1.25000e+09         0.01068     5.90589e-05         0.98100
    69         0.12124         0.06279         0.06449     1.25000e+09         0.02181     4.65002e-05         0.98370
    70         0.22155         0.12240         0.12575     1.25000e+09         0.02684     4.35910e-05         0.98400
    71         0.35910         0.21656         0.22258     1.25000e+09         0.03457     3.99333e-05         0.98440
    72         0.53515         0.35737         0.36740     1.25000e+09         0.04773     3.60615e-05         0.98460
    73         0.74973         0.25601         0.25873     2.00000e+09         0.00208     7.05241e-05         0.96790
    74         1.00281         0.40249         0.40748     2.00000e+09         0.00416     5.99999e-05         0.96960
    75         1.29184         0.61219         0.62195     2.00000e+09         0.00849     5.08175e-05         0.97300
    76         1.61358         0.83380         0.84786     2.00000e+09         0.01068     4.66041e-05         0.97390
    77         1.96534         1.34138         1.36849     2.00000e+09         0.02181     3.52842e-05         0.97710
    78         2.34438         1.70700         1.74257     2.00000e+09         0.02684     3.30741e-05         0.97770
    79         2.74685         2.15483         2.20109     2.00000e+09         0.03457     3.06984e-05         0.97830
    80         3.16801         2.71744         2.77720     2.00000e+09         0.04773     2.80750e-05         0.97880
    81         3.60312         1.45408         1.45888     3.00000e+09         0.00208     5.96739e-05         0.96090
    82         4.04884         1.89078         1.90097     3.00000e+09         0.00416     5.15683e-05         0.96290
    83         4.50055         2.63483         2.65975     3.00000e+09         0.00849     4.11345e-05         0.96680
    84         4.95433         3.17079         3.20409     3.00000e+09         0.01068     3.76281e-05         0.96780
    85         0.00295         0.00255         0.00258     3.00000e+09         0.02181     2.79223e-05         0.97160
    86         0.00319         0.00289         0.00294     3.00000e+09         0.02684     2.65899e-05         0.97220
    87         0.00311         0.00299         0.00303     3.00000e+09         0.03457     2.50720e-05         0.97290
    88         0.00228         0.00241         0.00245     3.00000e+09         0.04773     2.27562e-05         0.97350
    89         0.00078         0.00039         0.00039     5.00000e+09         0.00208     4.81407e-05         0.95140
    90         0.00033         0.00019         0.00019     5.00000e+09         0.00416     4.13026e-05         0.95380
    91         0.00029         0.00021         0.00021     5.00000e+09         0.00849     3.26631e-05         0.95860
    92         0.00000         0.00000         0.00000     5.00000e+09         0.01068     3.00690e-05         0.95970
